# b_ss,c_ss,EulErr_ss,RCerr_ss,w_ss,r_ss,K_ss,Y_ss,C_ss,BQ_ss
3.120838782297017389e-01,1.069932955261569285e+00,-1.110223024625156540e-16,-3.187221023665150199e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.481168122002101240e-01,1.070731237422612558e+00,0.000000000000000000e+00,-3.185730649288128370e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
3.863161777478223979e-01,1.071530115185843179e+00,1.110223024625156540e-16,-3.185581304791572019e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.268582278041826994e-01,1.072329588995643235e+00,-2.220446049250313081e-16,-3.184995099904050671e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.699336011860356654e-01,1.073129659296725436e+00,1.110223024625156540e-16,-3.185604577936232591e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
5.157484968159070648e-01,1.073930326534135338e+00,-2.220446049250313081e-16,-3.186029967758574177e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
5.645259437863533458e-01,1.074731591153249788e+00,-1.110223024625156540e-16,-3.185662514519876486e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.165071750908344139e-01,1.075533453599778033e+00,-1.110223024625156540e-16,-3.186357261132036038e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.719531134828012897e-01,1.076335914319762166e+00,-2.220446049250313081e-16,-3.187342600882010508e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
7.311459786152574303e-01,1.077138973759576901e+00,-1.110223024625156540e-16,-3.187996582086989952e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
